version,status,last_updated,author,change_note,ata,component,description,qty,unit_mass_kg,total_mass_kg,x_m,y_m,z_m,mx_kgm,my_kgm,mz_kgm,notes
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),21,Pack 1,Error 2023,1,77.1617,77.1617,37.72966,-1.312336,5.905512,2911.284706022,-101.2620767312,455.6793452904,"Aft of wing, LH"
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),21,Pack 2,Error 2023,1,77.1617,77.1617,37.72966,1.312336,5.905512,2911.284706022,101.2620767312,455.6793452904,"Aft of wing, RH"
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),21,Mix Manifold,Error 2023,1,39.68316,39.68316,34.44882,0,4.92126,1367.0380358712,0,195.2911479816,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),22,FCC 1,Error 2023,1,17.63696,17.63696,11.48294,-0.656168,5.905512,202.5241534624,-11.57280876928,104.15527892352,Avionics bay fwd
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),22,FCC 2,Error 2023,1,17.63696,17.63696,11.48294,0.656168,5.905512,202.5241534624,11.57280876928,104.15527892352,Avionics bay fwd
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),22,Autothrottle Servo,Error 2023,1,6.61386,6.61386,13.12336,0,4.92126,86.7960657696,0,32.5485246636,Throttle quadrant
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),23,VHF Comm 1,Error 2023,1,8.81848,8.81848,10.498688,-0.656168,6.233596,92.58247015424,-5.78640438464,54.97084165408,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),23,VHF Comm 2,Error 2023,1,8.81848,8.81848,10.498688,0.656168,6.233596,92.58247015424,5.78640438464,54.97084165408,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),23,SATCOM,Error 2023,1,26.45544,26.45544,45.93176,0,8.530184,1215.1449207744,0,225.66977100096,Upper aft fuselage
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),23,CVR,Error 2023,1,11.0231,11.0231,55.77428,0,6.56168,614.805465868,0,72.330054808,Aft fuselage (crashworthy)
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,IDG 1,Error 2023,1,77.1617,77.1617,41.0105,-1.64042,7.217848,3164.43989785,-126.577595914,556.9414220216,Engine accessory gearbox LH
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,IDG 2,Error 2023,1,77.1617,77.1617,41.0105,1.64042,7.217848,3164.43989785,126.577595914,556.9414220216,Engine accessory gearbox RH
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,APU Generator,Error 2023,1,55.1155,55.1155,63.97638,0,7.874016,3526.09017189,0,433.980328848,On APU
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,Main Battery,Error 2023,2,48.50164,97.00328,9.186352,0,2.952756,891.10627523456,0,286.42701703968,"Fwd equipment bay, 2x NiCd"
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,TRU 1,Error 2023,1,39.68316,39.68316,9.84252,-0.984252,4.593176,390.5822959632,-39.05822959632,182.27173811616,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,TRU 2,Error 2023,1,39.68316,39.68316,9.84252,0.984252,4.593176,390.5822959632,39.05822959632,182.27173811616,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Flight Deck Seats,Error 2023,2,77.1617,154.3234,10.498688,0,5.249344,1620.1932276992,0,810.0966138496,2 crew
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Cabin Seats,Error 2023,9,99.2079,892.8711,27.88714,0,5.249344,24899.621367654,0,4686.9875515584,9 pax club + divan avg position
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Galley Fwd,Error 2023,1,198.4158,198.4158,16.4042,-1.312336,5.577428,3254.85246636,-260.3881973088,1106.6498385624,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Galley Aft,Error 2023,1,132.2772,132.2772,45.93176,1.312336,5.577428,6075.724603872,173.5921315392,737.7665590416,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Lavatory Fwd,Error 2023,1,88.1848,88.1848,18.04462,1.312336,5.577428,1591.261205776,115.7280876928,491.8443726944,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Lavatory Aft,Error 2023,1,121.2541,121.2541,50.85302,0,5.577428,6166.137172382,0,676.2860124548,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Overhead Bins,Error 2023,1,264.5544,264.5544,27.88714,0,7.874016,7377.665590416,0,2083.1055784704,"Distributed, lumped at cabin centroid"
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),26,Engine 1 Fire Bottle,Error 2023,1,17.63696,17.63696,39.37008,-1.968504,7.545932,694.3685261568,-34.71842630784,133.08730084672,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),26,Engine 2 Fire Bottle,Error 2023,1,17.63696,17.63696,39.37008,1.968504,7.545932,694.3685261568,34.71842630784,133.08730084672,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),26,APU Fire Bottle,Error 2023,1,13.22772,13.22772,62.33596,0,7.545932,824.5626248112,0,99.81547563504,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),26,Cargo Fire Bottles,Error 2023,2,15.43234,30.86468,54.13386,0,3.28084,1670.8242660648,0,101.2620767312,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),27,Aileron LH,Error 2023,1,39.68316,39.68316,36.08924,-24.6063,7.217848,1432.1350851984,-976.455739908,286.42701703968,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),27,Aileron RH,Error 2023,1,39.68316,39.68316,36.08924,24.6063,7.217848,1432.1350851984,976.455739908,286.42701703968,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),27,Elevator LH,Error 2023,1,48.50164,48.50164,63.97638,-6.56168,16.4042,3102.9593512632,-318.2522411552,795.630602888,T-tail
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),27,Elevator RH,Error 2023,1,48.50164,48.50164,63.97638,6.56168,16.4042,3102.9593512632,318.2522411552,795.630602888,T-tail
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),27,Rudder,Error 2023,1,66.1386,66.1386,63.97638,0,13.779528,4231.308206268,0,911.3586905808,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),27,Flap LH,Error 2023,1,121.2541,121.2541,34.44882,-13.12336,6.56168,4177.060665162,-1591.261205776,795.630602888,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),27,Flap RH,Error 2023,1,121.2541,121.2541,34.44882,13.12336,6.56168,4177.060665162,1591.261205776,795.630602888,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),27,Spoilers,Error 2023,4,26.45544,105.82176,35.433072,0,6.889764,3749.59004124672,0,729.08695246464,2 per wing
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),27,PCU Assemblies,Error 2023,8,22.0462,176.3696,39.37008,0,8.2021,6943.685261568,0,1446.60109616,Distributed
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),28,Fuel Tank LH (full),Error 2023,1,5511.55,5511.55,34.44882,-9.84252,6.56168,189866.393871,-54247.541106,36165.027404,"Integral wing tank, ~3100 L Jet A"
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),28,Fuel Tank RH (full),Error 2023,1,5511.55,5511.55,34.44882,9.84252,6.56168,189866.393871,54247.541106,36165.027404,"Integral wing tank, ~3100 L Jet A"
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),28,Center Tank (full),Error 2023,1,2866.006,2866.006,32.8084,0,5.249344,94029.0712504,0,15044.651400064,Wing center section
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),28,Boost Pumps,Error 2023,4,13.22772,52.91088,34.44882,0,5.905512,1822.7173811616,0,312.46583677056,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),28,Fuel Lines,Error 2023,1,88.1848,88.1848,36.08924,0,5.905512,3182.522411552,0,520.7763946176,Lumped
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),29,Hyd System A Pump,Error 2023,1,26.45544,26.45544,41.0105,-1.64042,6.56168,1084.95082212,-43.3980328848,173.5921315392,Engine-driven LH
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),29,Hyd System B Pump,Error 2023,1,26.45544,26.45544,41.0105,1.64042,6.56168,1084.95082212,43.3980328848,173.5921315392,Engine-driven RH
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),29,Hyd Reservoir A,Error 2023,1,33.0693,33.0693,44.29134,-1.312336,6.233596,1464.683609862,-43.3980328848,206.1406562028,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),29,Hyd Reservoir B,Error 2023,1,33.0693,33.0693,44.29134,1.312336,6.233596,1464.683609862,43.3980328848,206.1406562028,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),30,Wing Anti-Ice Ducting,Error 2023,1,77.1617,77.1617,34.44882,0,6.233596,2658.129514194,0,480.9948644732,Bleed-air leading edge
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),30,Engine Anti-Ice Valves,Error 2023,2,6.61386,13.22772,39.37008,0,7.217848,520.7763946176,0,95.47567234656,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),30,Window Heat,Error 2023,1,17.63696,17.63696,9.84252,0,6.56168,173.5921315392,0,115.7280876928,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),31,DFDR,Error 2023,1,17.63696,17.63696,55.77428,0,6.56168,983.6887453888,0,115.7280876928,Aft fuselage (crashworthy)
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),31,Display Units,Error 2023,4,22.0462,88.1848,9.84252,0,5.905512,867.960657696,0,520.7763946176,Cockpit
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),32,Nose Gear Assy,Error 2023,1,308.6468,308.6468,14.76378,0,1.968504,4556.793452904,0,607.5724603872,Retracted position centroid
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),32,MLG LH,Error 2023,1,771.617,771.617,37.72966,-5.905512,2.624672,29112.84706022,-4556.793452904,2025.241534624,0
